chr start
chr1  71565915
chr1  73616605
chr1  75267519
chr1  76813239
chr1  79854668
chr1  81679721
chr1  90737366
chr1  95791679
chr1  96411332
chr1  98989098
chr1 101137598
chr1 101792305
chr1 103997599
chr1 111073927
chr1 111756725
chr1 112314476
chr1 114538345
chr1 115338001
chr1 116257465
chr1 118493086
chr1 121138969
chr1 142510805
chr1 143098254
chr1 146070020
chr1 146474050
chr1 146755531
chr1 147109676
chr1 148836622
chr1 152059152
chr1 157217589
chr1 158179008
chr1 159257314
chr1 163390547
chr1 165174822
chr1 165957620
chr2  49505573
chr2  50777189
chr2  56478085
chr2  57059372
chr2  59039395
chr2  75304613
chr2  75931235
chr2  88397834
chr2  89058307
chr2  89819571
chr2  91575142
chr2  95309258
chr2  96136358
chr2  98638946
chr2  99297155
chr2 100146622
chr2 102876934
chr2 106215644
chr2 106819353
chr2 114757686
chr2 118999018
chr2 122665967
chr2 126516318
chr2 129437645
chr2 132989587
chr2 133258144
chr2 139699942
chr3  58636051
chr3  62029124
chr3  64397995
chr3  66431221
chr3  67999678
chr3  73157864
chr3  79114108
chr3  80476449
chr3  81854100
chr3  87608084
chr3  88209706
chr3  93496786
chr3  97751076
chr3  98337711
chr3 102274098
chr3 106589476
chr3 107853333
chr3 108338582
chr3 111870815
chr3 112775020
chr3 115193112
chr3 115558996
chr3 117617335
chr3 118357900
chr3 134571053
chr4         1
chr4   9378185
chr4  10133011
chr4  16293581
chr4  18112037
chr4  19797874
chr4  27037427
chr4  32410709
chr4  33471724
chr4  35055945
chr4  36277451
chr4  37032275
chr4  42556384
chr4  45773103
chr4  47610751
chr4  48964760
chr4  49472708
chr4  52652202
chr4  54576348
chr4  54975544
chr4  58074176
chr4  67954404
chr4  68639399
chr4  70057522
chr4  72037252
chr4  73536385
chr4  75991604
chr4  78971949
chr4  79876195
chr4  84934270
chr4  98078090
chr4 190454939
chr5   1963967
chr5   5499767
chr5   6196545
chr5   6839129
chr5   7915626
chr5   9556650
chr5  10869833
chr5  13474171
chr5  15332887
chr5  18375878
chr5  21808760
chr5  25057776
chr5  29479062
chr5  29817675
chr5  30199814
chr5  33474497
chr5  34276296
chr5  34989429
chr5  37758686
chr5  40892455
chr5  41933231
chr5  44179546
chr5  44399317
chr5  49395974
chr5  52971028
chr5  53799549
chr5  59292821
chr5  61137847
chr5  61948936
chr5  65615893
chr5  66556888
chr5  67899808
chr5  73337432
chr5  75068337
chr5  86794699
chr5  88919386
chr5  98996586
chr5 104927609
chr6  38690296
chr6  39273877
chr6  41088627
chr6  44455046
chr6  45698699
chr6  47593750
chr6  48994439
chr6  53938310
chr6  54211238
