chr start
chr1 223884955
chr1 98959110
chr1 120549406
chr1 57085841
chr1 19466903
chr1 200396184
chr1 243385120
chr1 10865565
chr1 20579080
chr1 93422686
chr1 231438150
chr1 207918096
chr1 51442580
chr1 78364711
chr1 213906300
chr1 143021046
chr1 143847491
chr1 202589094
chr1 49225397
chr1 25850223
chr1 227457328
chr1 157531394
chr1 9454476
chr1 35482355
chr1 82481251
chr1 85111627
chr1 126917815
chr1 94063698
chr1 132546272
chr1 186276648
chr1 239762755
chr1 156780060
chr1 88107302
chr1 35548639
chr1 221784086
chr1 142561353
chr1 3133326
chr1 153362763
chr1 137872875
chr1 167361947
chr1 66386786
chr1 117426052
chr1 146756063
chr1 57644846
chr1 184011432
chr1 247917111
chr1 123215251
chr1 144105321
chr1 218281352
chr1 233112883
chr1 61723866
chr1 125819075
chr1 67592539
chr1 156114556
chr1 53908478
chr1 245258054
chr1 212656544
chr1 48879264
chr1 44414250
chr1 70109466
chr1 245345084
chr1 106227941
chr1 160334572
chr1 248923669
chr1 90199768
chr1 223821773
chr1 168771937
chr1 56796258
chr1 186063361
chr1 220456776
chr2 27083153
chr2 14700629
chr2 157386280
chr2 81448583
chr2 227948481
chr2 229313071
chr2 144390015
chr2 211350092
chr2 191377194
chr2 67044949
chr2 140819226
chr2 1529334
chr2 207870744
chr2 136986758
chr2 183016528
chr2 128910504
chr2 53640843
chr2 44453091
chr2 49416703
chr2 211630031
chr2 125453427
chr2 20633588
chr2 238671101
chr2 112446445
chr2 64186996
chr2 164155247
chr2 109959917
chr2 173556758
chr2 52668102
chr2 3405005
chr2 236764388
chr2 193812142
chr2 200369100
chr2 85815625
chr2 47515728
chr2 99068553
chr2 33044873
chr2 168739437
chr2 81066537
chr2 35539930
chr2 196064900
chr2 206125554
chr2 187874266
chr2 116216423
chr2 173976766
chr2 40006208
chr2 156811281
chr2 241867433
chr2 28071574
chr2 196138423
chr2 98113025
chr2 208763460
chr2 121198133
chr2 58852152
chr3 2969870
chr3 152473818
chr3 169296729
chr3 43606078
chr3 169174420
chr3 81532563
chr3 153604089
chr3 181322030
chr3 81532990
chr3 18788155
chr3 15556906
chr3 119888698
chr3 36251413
chr3 188123294
chr3 98870837
chr3 21136798
chr3 116250689
chr3 176675254
chr3 52400508
chr3 63982897
chr3 189461372
chr3 642020
chr3 196653428
chr3 7192056
chr3 48038763
chr3 187073977
chr3 33241567
chr3 86435667
chr3 151172911
chr3 127137030
chr3 99987693
chr3 184263716
chr3 113311599
chr3 163121954
chr3 139940650
chr3 28449708
chr3 32928952
chr3 167951366
chr3 184546328
chr3 132317163
chr3 49055086
chr3 197628415
chr3 23396967
chr3 180912969
chr3 190686258
chr3 47666292
chr3 86220737
chr3 56246691
chr3 148093626
chr3 171102994
chr4 9752932
chr4 61084346
chr4 19829971
chr4 7058737
chr4 12702606
chr4 144748681
chr4 137610517
chr4 514160
chr4 152296442
chr4 39030068
chr4 82710564
chr4 157537891
chr4 27816290
chr4 150297385
chr4 123868955
chr4 130354451
chr4 24071575
chr4 185915168
chr4 138695467
chr4 160022835
chr4 152963888
chr4 113634796
chr4 71335999
chr4 185676608
chr4 137994312
chr4 156732466
chr4 42023896
chr4 119877423
chr4 60925992
chr4 129190475
chr4 155593081
chr4 20203410
chr4 37719942
chr4 169835470
chr4 60416384
chr4 183055484
chr4 47132161
chr4 107056477
chr4 56198210
chr4 5877167
chr4 25832830
chr4 71313926
chr4 189120390
chr4 90852563
chr4 184311013
chr4 10618197
chr4 171781991
chr4 108296074
chr4 189054388
chr4 113209160
chr4 51949846
chr4 130913957
chr4 173865353
chr4 160650902
chr4 12101905
chr4 109113861
chr4 95652563
chr4 91543041
chr4 118242146
chr4 25393004
chr4 51617988
chr4 16036286
chr4 112160210
chr4 46881003
chr5 56036301
chr5 131651453
chr5 116672960
chr5 18817031
chr5 160711029
chr5 163421131
chr5 80255458
chr5 164933845
chr5 24218460
chr5 178879899
chr5 58881354
chr5 166899555
chr5 114178199
chr5 169460527
chr5 80545314
chr5 96611702
chr5 122564833
chr5 107414584
chr5 67929190
chr5 169414967
chr5 168652662
chr5 77495109
chr5 83124209
chr5 137525088
chr5 147223717
chr5 104938755
chr5 114459734
chr5 149459816
chr5 14181
chr5 67641165
chr5 42439863
chr5 98669350
chr5 23132814
chr5 162424887
chr5 45213530
chr5 149915184
chr5 140928679
chr5 24616579
chr5 27013887
chr5 40169227
chr5 103223296
chr5 51247735
chr5 136194481
chr5 5797099
chr5 99187029
chr5 48156435
chr5 132551170
chr5 8216658
chr5 21126065
chr5 25127749
chr5 9682933
chr5 86120422
chr5 96885363
chr5 96032611
chr5 62086333
chr5 79500693
chr5 97410965
chr5 19009173
chr5 87779871
chr5 118197874
chr5 119924560
chr5 70378517
chr5 170332106
chr5 124192376
chr5 150006109
chr5 120498094
chr5 116700339
chr5 82819584
chr5 125442277
chr5 133787306
chr5 51004131
chr5 49587298
chr5 70521437
chr5 55062677
chr5 107701177
chr5 75671948
chr6 72864624
chr6 34435687
chr6 57823914
chr6 157598958
chr6 166165316
chr6 49544389
chr6 170752608
chr6 23741585
chr6 45967948
chr6 125856327
chr6 142883322
chr6 138299842
chr6 33661942
chr6 52017456
chr6 23284803
chr6 55903914
chr6 60381270
chr6 108101423
chr6 163906197
chr6 131490043
chr6 23775176
chr6 33458333
chr6 154225579
chr6 122008306
chr6 159287839
chr6 7335652
chr6 102257924
chr6 4184433
chr6 4788559
chr6 120509190
chr6 1745073
chr6 170332721
chr6 108885064
chr6 144291014
chr6 32630851
chr6 30093193
chr6 93690616
chr6 131027886
chr6 8629049
chr6 168796154
chr6 77148713
chr6 142605192
chr6 71571109
chr6 41785970
chr6 22448540
chr6 132517103
chr6 73392053
chr6 167292405
chr6 77093432
chr6 30903721
chr6 42947479
chr6 112574898
chr6 2879807
chr6 16356269
chr6 111440271
chr6 133662374
chr6 41112536
chr6 66557181
chr6 114602247
chr6 57434234
chr6 142509615
chr6 44816336
chr6 61501594
chr6 13820841
chr6 138337734
chr6 159120544
chr7 50068841
chr7 77725958
chr7 86029848
chr7 116029538
chr7 6360821
chr7 97938457
chr7 61858985
chr7 150664876
chr7 155374956
chr7 45758213
chr7 64749662
chr7 37472525
chr7 105386847
chr7 132797734
chr7 140012657
chr7 54966249
chr7 4729982
chr7 108380529
chr7 72809799
chr7 79215342
chr7 137206294
chr7 64433828
chr7 62106616
chr7 4319227
chr7 95179865
chr7 145224535
chr7 62513274
chr7 33576895
chr7 12301572
chr7 21167067
chr7 37419874
chr7 145444101
chr7 59666867
chr7 48980106
chr7 44282399
chr7 104080185
chr7 21698811
chr7 4453341
chr7 89221900
chr7 41308722
chr7 53239043
chr7 109709202
chr7 107799192
chr7 56940587
chr7 33219804
chr7 127453927
chr7 120064121
chr7 27623428
chr7 148279800
chr7 10045382
chr7 152541547
chr7 8846305
chr8 118314979
chr8 61979435
chr8 56541477
chr8 95084828
chr8 15944463
chr8 106782577
chr8 133300026
chr8 118719289
chr8 97100310
chr8 24299472
chr8 1213928
chr8 48381544
chr8 75351531
chr8 9481761
chr8 86531316
chr8 46794220
chr8 124549790
chr8 5226967
chr8 68409932
chr8 122446667
chr8 7318532
chr8 79115009
chr8 103125047
chr8 39279807
chr8 505108
chr8 2352971
chr8 63320572
chr8 115806211
chr8 20465760
chr8 41277885
chr8 117393702
chr8 64146519
chr8 70051463
chr8 91968521
chr8 74476629
chr8 83473328
chr8 111683640
chr8 53510686
chr8 49206723
chr8 119469047
chr8 138102333
chr8 27759403
chr8 78495472
chr8 34938222
chr8 59885308
chr8 909616
chr8 51483247
chr8 47391677
chr8 107508285
chr8 23205199
chr8 4524638
chr8 2262166
chr8 71754798
chr8 122200877
chr8 32384175
chr8 52984477
chr8 125813706
chr8 50510156
chr8 34152134
chr8 23667187
chr8 56233479
chr8 42866456
chr8 5475765
chr8 128152855
chr8 115399239
chr8 57130380
chr8 75678789
chr8 139316346
chr8 100181820
chr8 33711488
chr8 14685033
chr8 88212841
chr8 34840519
chr8 123904455
chr8 7016511
chr8 88967566
chr8 79029388
chr8 67186545
chr8 130270010
chr8 40100094
chr9 79655164
chr9 31902388
chr9 30310745
chr9 111161622
chr9 3537898
chr9 121948344
chr9 105592601
chr9 125344661
chr9 30593497
chr9 116436315
chr9 72443860
chr9 139988915
chr9 80308248
chr9 39703712
chr9 49192914
chr9 55481512
chr9 32021930
chr9 74689810
chr9 92678473
chr9 138653851
chr9 45345891
chr9 123860569
chr9 24208139
chr9 39784717
chr9 80783480
chr9 128561798
chr9 16577274
chr9 37846945
chr9 8652031
chr9 46456274
chr9 33436415
chr9 10623466
chr9 123422196
chr9 77625033
chr9 7955235
chr9 103988845
chr9 109788240
